# wave	flux	error	model
# 
1.385230000000000018e+03 1.007530000000000037e+00 3.540179999999999716e-02 9.879762853418339041e-01
1.385259999999999991e+03 9.738919999999999799e-01 3.475869999999999654e-02 9.889957237330456730e-01
1.385289999999999964e+03 9.767010000000000414e-01 3.495179999999999815e-02 9.898937558422487015e-01
1.385319999999999936e+03 9.797219999999999818e-01 3.500230000000000008e-02 9.906944629551530657e-01
1.385349999999999909e+03 1.017419999999999991e+00 3.551399999999999696e-02 9.914158264488965866e-01
1.385380000000000109e+03 9.547430000000000083e-01 3.441369999999999846e-02 9.920705377985097329e-01
1.385410000000000082e+03 9.480979999999999963e-01 3.430810000000000110e-02 9.926666768234611027e-01
1.385440000000000055e+03 9.505120000000000235e-01 3.437969999999999915e-02 9.932088047264063801e-01
1.385470000000000027e+03 1.012129999999999974e+00 3.542379999999999834e-02 9.936993650225817154e-01
1.385500000000000000e+03 9.865300000000000180e-01 3.497259999999999952e-02 9.941402189848509430e-01
1.385529999999999973e+03 9.938310000000000199e-01 3.521269999999999956e-02 9.945340159040897410e-01
1.385559999999999945e+03 1.014680000000000026e+00 3.550129999999999952e-02 9.948851252928251343e-01
1.385589999999999918e+03 1.007609999999999895e+00 3.532350000000000073e-02 9.951989464332826607e-01
1.385619999999999891e+03 9.446229999999999905e-01 3.427759999999999835e-02 9.954801053937699651e-01
1.385650000000000091e+03 9.712079999999999602e-01 3.470209999999999961e-02 9.957315879612028686e-01
1.385680000000000064e+03 9.230620000000000491e-01 3.381959999999999827e-02 9.959555450895679618e-01
1.385710000000000036e+03 9.671499999999999542e-01 3.462740000000000262e-02 9.961546942539650784e-01
1.385740000000000009e+03 1.031519999999999992e+00 3.574259999999999937e-02 9.963329237623473889e-01
1.385769999999999982e+03 1.002320000000000100e+00 3.527919999999999667e-02 9.964948319630760887e-01
1.385799999999999955e+03 1.012520000000000087e+00 3.547739999999999921e-02 9.966449782401268775e-01
1.385829999999999927e+03 9.840219999999999523e-01 3.496699999999999808e-02 9.967871074829478539e-01
1.385859999999999900e+03 9.271289999999999809e-01 3.391140000000000126e-02 9.969237918661107978e-01
1.385890000000000100e+03 9.739950000000000552e-01 3.477149999999999685e-02 9.970563056884685915e-01
1.385920000000000073e+03 1.004869999999999930e+00 3.530609999999999998e-02 9.971848296169054660e-01
1.385950000000000045e+03 9.781079999999999774e-01 3.500930000000000014e-02 9.973088532039573462e-01
1.385980000000000018e+03 1.013060000000000072e+00 3.553440000000000071e-02 9.974276665886535609e-01
